image_path,label,source,group_id,fold
/kaggle/input/datasets/ashery/chexpert/train/patient00040/study1/view1_frontal.jpg,pathology,chex,patient00040,5
/kaggle/input/datasets/ashery/chexpert/train/patient00055/study2/view1_frontal.jpg,pathology,chex,patient00055,5
/kaggle/input/datasets/ashery/chexpert/train/patient00055/study2/view2_lateral.jpg,pathology,chex,patient00055,5
/kaggle/input/datasets/ashery/chexpert/train/patient00055/study1/view1_frontal.jpg,no_finding,chex,patient00055,5
/kaggle/input/datasets/ashery/chexpert/train/patient00055/study3/view1_frontal.jpg,pathology,chex,patient00055,5
/kaggle/input/datasets/ashery/chexpert/train/patient00087/study3/view1_frontal.jpg,pathology,chex,patient00087,2
/kaggle/input/datasets/ashery/chexpert/train/patient00087/study3/view2_frontal.jpg,pathology,chex,patient00087,2
/kaggle/input/datasets/ashery/chexpert/train/patient00087/study3/view3_lateral.jpg,pathology,chex,patient00087,2
/kaggle/input/datasets/ashery/chexpert/train/patient00087/study2/view1_frontal.jpg,pathology,chex,patient00087,2
/kaggle/input/datasets/ashery/chexpert/train/patient00087/study1/view1_frontal.jpg,pathology,chex,patient00087,2
/kaggle/input/datasets/ashery/chexpert/train/patient00110/study1/view1_frontal.jpg,no_finding,chex,patient00110,4
/kaggle/input/datasets/ashery/chexpert/train/patient00115/study1/view1_frontal.jpg,pathology,chex,patient00115,2
/kaggle/input/datasets/ashery/chexpert/train/patient00115/study2/view1_frontal.jpg,pathology,chex,patient00115,2
/kaggle/input/datasets/ashery/chexpert/train/patient00125/study1/view1_frontal.jpg,pathology,chex,patient00125,3
/kaggle/input/datasets/ashery/chexpert/train/patient00125/study1/view2_lateral.jpg,pathology,chex,patient00125,3
/kaggle/input/datasets/ashery/chexpert/train/patient00145/study1/view1_frontal.jpg,pathology,chex,patient00145,5
/kaggle/input/datasets/ashery/chexpert/train/patient00145/study1/view2_lateral.jpg,pathology,chex,patient00145,5
/kaggle/input/datasets/ashery/chexpert/train/patient00145/study1/view3_lateral.jpg,pathology,chex,patient00145,5
/kaggle/input/datasets/ashery/chexpert/train/patient00183/study1/view1_frontal.jpg,no_finding,chex,patient00183,2
/kaggle/input/datasets/ashery/chexpert/train/patient00183/study1/view2_lateral.jpg,no_finding,chex,patient00183,2
/kaggle/input/datasets/ashery/chexpert/train/patient00183/study3/view1_frontal.jpg,pathology,chex,patient00183,2
/kaggle/input/datasets/ashery/chexpert/train/patient00183/study2/view1_frontal.jpg,no_finding,chex,patient00183,2
/kaggle/input/datasets/ashery/chexpert/train/patient00183/study4/view1_frontal.jpg,pathology,chex,patient00183,2
/kaggle/input/datasets/ashery/chexpert/train/patient00213/study1/view1_frontal.jpg,pathology,chex,patient00213,5
/kaggle/input/datasets/ashery/chexpert/train/patient00213/study2/view1_frontal.jpg,pathology,chex,patient00213,5
/kaggle/input/datasets/ashery/chexpert/train/patient00225/study1/view1_frontal.jpg,pathology,chex,patient00225,2
/kaggle/input/datasets/ashery/chexpert/train/patient00225/study1/view2_lateral.jpg,pathology,chex,patient00225,2
/kaggle/input/datasets/ashery/chexpert/train/patient00226/study2/view1_frontal.jpg,no_finding,chex,patient00226,3
/kaggle/input/datasets/ashery/chexpert/train/patient00226/study2/view2_lateral.jpg,no_finding,chex,patient00226,3
/kaggle/input/datasets/ashery/chexpert/train/patient00226/study1/view1_frontal.jpg,pathology,chex,patient00226,3
/kaggle/input/datasets/ashery/chexpert/train/patient00226/study1/view2_lateral.jpg,pathology,chex,patient00226,3
/kaggle/input/datasets/ashery/chexpert/train/patient00252/study3/view1_frontal.jpg,pathology,chex,patient00252,4
/kaggle/input/datasets/ashery/chexpert/train/patient00252/study4/view1_frontal.jpg,pathology,chex,patient00252,4
/kaggle/input/datasets/ashery/chexpert/train/patient00252/study2/view1_frontal.jpg,pathology,chex,patient00252,4
/kaggle/input/datasets/ashery/chexpert/train/patient00252/study1/view1_frontal.jpg,pathology,chex,patient00252,4
/kaggle/input/datasets/ashery/chexpert/train/patient00254/study1/view1_frontal.jpg,no_finding,chex,patient00254,5
/kaggle/input/datasets/ashery/chexpert/train/patient00262/study3/view1_frontal.jpg,pathology,chex,patient00262,1
/kaggle/input/datasets/ashery/chexpert/train/patient00262/study3/view2_lateral.jpg,pathology,chex,patient00262,1
/kaggle/input/datasets/ashery/chexpert/train/patient00262/study1/view1_frontal.jpg,no_finding,chex,patient00262,1
/kaggle/input/datasets/ashery/chexpert/train/patient00262/study2/view1_frontal.jpg,pathology,chex,patient00262,1
/kaggle/input/datasets/ashery/chexpert/train/patient00270/study1/view1_frontal.jpg,pathology,chex,patient00270,4
/kaggle/input/datasets/ashery/chexpert/train/patient00270/study2/view1_frontal.jpg,pathology,chex,patient00270,4
/kaggle/input/datasets/ashery/chexpert/train/patient00270/study3/view1_frontal.jpg,no_finding,chex,patient00270,4
/kaggle/input/datasets/ashery/chexpert/train/patient00274/study1/view1_frontal.jpg,pathology,chex,patient00274,1
/kaggle/input/datasets/ashery/chexpert/train/patient00274/study1/view2_lateral.jpg,pathology,chex,patient00274,1
/kaggle/input/datasets/ashery/chexpert/train/patient00275/study1/view1_frontal.jpg,pathology,chex,patient00275,4
/kaggle/input/datasets/ashery/chexpert/train/patient00275/study1/view2_lateral.jpg,pathology,chex,patient00275,4
/kaggle/input/datasets/ashery/chexpert/train/patient00278/study1/view1_frontal.jpg,pathology,chex,patient00278,2
/kaggle/input/datasets/ashery/chexpert/train/patient00278/study2/view1_frontal.jpg,pathology,chex,patient00278,2
/kaggle/input/datasets/ashery/chexpert/train/patient00281/study2/view1_frontal.jpg,pathology,chex,patient00281,5
/kaggle/input/datasets/ashery/chexpert/train/patient00281/study2/view2_frontal.jpg,pathology,chex,patient00281,5
/kaggle/input/datasets/ashery/chexpert/train/patient00281/study2/view3_lateral.jpg,pathology,chex,patient00281,5
/kaggle/input/datasets/ashery/chexpert/train/patient00281/study1/view1_frontal.jpg,no_finding,chex,patient00281,5
/kaggle/input/datasets/ashery/chexpert/train/patient00281/study1/view2_lateral.jpg,no_finding,chex,patient00281,5
/kaggle/input/datasets/ashery/chexpert/train/patient00345/study1/view1_frontal.jpg,pathology,chex,patient00345,2
/kaggle/input/datasets/ashery/chexpert/train/patient00345/study1/view2_lateral.jpg,pathology,chex,patient00345,2
/kaggle/input/datasets/ashery/chexpert/train/patient00354/study1/view1_frontal.jpg,pathology,chex,patient00354,3
/kaggle/input/datasets/ashery/chexpert/train/patient00354/study1/view2_lateral.jpg,pathology,chex,patient00354,3
/kaggle/input/datasets/ashery/chexpert/train/patient00370/study6/view1_frontal.jpg,pathology,chex,patient00370,5
/kaggle/input/datasets/ashery/chexpert/train/patient00370/study6/view2_lateral.jpg,pathology,chex,patient00370,5
/kaggle/input/datasets/ashery/chexpert/train/patient00370/study1/view1_frontal.jpg,pathology,chex,patient00370,5
/kaggle/input/datasets/ashery/chexpert/train/patient00370/study9/view1_frontal.jpg,pathology,chex,patient00370,5
/kaggle/input/datasets/ashery/chexpert/train/patient00370/study2/view1_frontal.jpg,pathology,chex,patient00370,5
/kaggle/input/datasets/ashery/chexpert/train/patient00370/study3/view1_frontal.jpg,pathology,chex,patient00370,5
/kaggle/input/datasets/ashery/chexpert/train/patient00370/study7/view1_frontal.jpg,pathology,chex,patient00370,5
/kaggle/input/datasets/ashery/chexpert/train/patient00370/study4/view1_frontal.jpg,pathology,chex,patient00370,5
/kaggle/input/datasets/ashery/chexpert/train/patient00370/study8/view1_frontal.jpg,pathology,chex,patient00370,5
/kaggle/input/datasets/ashery/chexpert/train/patient00370/study5/view1_frontal.jpg,pathology,chex,patient00370,5
/kaggle/input/datasets/ashery/chexpert/train/patient00429/study1/view1_frontal.jpg,pathology,chex,patient00429,4
/kaggle/input/datasets/ashery/chexpert/train/patient00429/study1/view2_frontal.jpg,pathology,chex,patient00429,4
/kaggle/input/datasets/ashery/chexpert/train/patient00429/study1/view3_lateral.jpg,pathology,chex,patient00429,4
/kaggle/input/datasets/ashery/chexpert/train/patient00431/study5/view1_frontal.jpg,pathology,chex,patient00431,3
/kaggle/input/datasets/ashery/chexpert/train/patient00431/study5/view2_lateral.jpg,pathology,chex,patient00431,3
/kaggle/input/datasets/ashery/chexpert/train/patient00431/study5/view3_lateral.jpg,pathology,chex,patient00431,3
/kaggle/input/datasets/ashery/chexpert/train/patient00431/study3/view1_frontal.jpg,pathology,chex,patient00431,3
/kaggle/input/datasets/ashery/chexpert/train/patient00431/study4/view1_frontal.jpg,pathology,chex,patient00431,3
/kaggle/input/datasets/ashery/chexpert/train/patient00431/study2/view1_frontal.jpg,pathology,chex,patient00431,3
/kaggle/input/datasets/ashery/chexpert/train/patient00431/study1/view1_frontal.jpg,pathology,chex,patient00431,3
/kaggle/input/datasets/ashery/chexpert/train/patient00432/study1/view1_frontal.jpg,no_finding,chex,patient00432,4
/kaggle/input/datasets/ashery/chexpert/train/patient00432/study1/view2_lateral.jpg,no_finding,chex,patient00432,4
/kaggle/input/datasets/ashery/chexpert/train/patient00434/study1/view1_frontal.jpg,pathology,chex,patient00434,4
/kaggle/input/datasets/ashery/chexpert/train/patient00434/study1/view2_lateral.jpg,pathology,chex,patient00434,4
/kaggle/input/datasets/ashery/chexpert/train/patient00445/study1/view1_frontal.jpg,pathology,chex,patient00445,1
/kaggle/input/datasets/ashery/chexpert/train/patient00455/study1/view1_frontal.jpg,pathology,chex,patient00455,4
